,JPM
2008-09-08,1.8200000000000003
2008-09-09,-1.9399999999999977
2008-09-10,-0.060000000000002274
2008-09-11,2.0899999999999963
2008-09-12,-0.44999999999999574
2008-09-15,-3.8700000000000045
2008-09-16,3.470000000000006
2008-09-17,-4.6200000000000045
2008-09-18,4.210000000000001
2008-09-19,6.280000000000001
2008-09-22,-5.810000000000002
2008-09-23,-0.21999999999999886
2008-09-24,-0.060000000000002274
2008-09-25,2.75
2008-09-26,4.450000000000003
2008-09-29,-6.729999999999997
2008-09-30,5.299999999999997
2008-10-01,2.719999999999999
2008-10-02,0.5600000000000023
2008-10-03,-3.700000000000003
2008-10-06,-1.7800000000000011
2008-10-07,-4.3799999999999955
2008-10-08,-0.020000000000003126
2008-10-09,-2.460000000000001
2008-10-10,4.650000000000006
